city,state
Manauli,Punjab
Parappatti,Tamil Nādu
Vellānūr,Tamil Nādu
Sursi,Gujarāt
Babura,Bihār
Pātacudapah,Andhra Pradesh
Mādavar,Karnātaka
Kadabgeri,Karnātaka
Keshopur,Bihār
Basavanhalli,Karnātaka
Putlampalle,Andhra Pradesh
Manchirevula,Telangāna
Tippampatti,Tamil Nādu
Nanmangalam,Tamil Nādu
Tildānga,West Bengal
Togān,Chandīgarh
Ambāpuram,Andhra Pradesh
Gobardhanpur,Bihār
Kair,Delhi
Pallippatti,Tamil Nādu
Kumbalam,Kerala
Sonnappanhalli,Karnātaka
Chanditala,West Bengal
Agaram,Tamil Nādu
Pātapādu,Andhra Pradesh
Andauli,Bihār
Pallappatti,Tamil Nādu
Baniara,West Bengal
Doddajīvanhalli,Karnātaka
Kolapakkam,Tamil Nādu
Permi,Madhya Pradesh
Kūllampatti,Tamil Nādu
Gorwa,Gujarāt
Diālpura,Punjab
Kasiām,Bihār
Takkolu,Andhra Pradesh
Panaiyūr,Tamil Nādu
Bhainsaha,Bihār
Deuriya,Bihār
Solankuruni,Tamil Nādu
Mamnoli,Mahārāshtra
Jālādipur,West Bengal
Berkap,Bihār
Wattināgulapalli,Telangāna
Himāyatsāgar,Telangāna
Huttanhalli,Karnātaka
Suara,Bihār
Dahāur,Bihār
Katār,Bihār
Sotur,Jammu and Kashmīr
Vājarhalli,Karnātaka
Cāchohalli,Karnātaka
Kasgatpur,Karnātaka
Rānipur,West Bengal
Bhagwānpur,Bihār
Gāgilāpur,Telangāna
Kitanelli,Karnātaka
Bartala,West Bengal
Tendua Dusādhi,Bihār
Sikdārpur,West Bengal
Dhurali,Punjab
Chinnanūr,Tamil Nādu
Bendravādi,Karnātaka
Nedumadurai,Tamil Nādu
Kodagihalli,Karnātaka
Mota Mazra,Punjab
Mailanhalli,Karnātaka
Bhagwatpur Patera,Bihār
Jotsema,Nāgāland
