city,state
Mulampilli,Kerala
Mumbai,Maharashtra
Munro Turuttu,Kerala
Muria,Bihar
Murtazabad,Uttar Pradesh
Muzaffarpur,Bihar
Nadampalaiyam,Tamil Nadu
Nagla,Uttarakhand
Nagpur,Maharashtra
Najafgarh,Delhi
Nangloi Jat,Delhi
Nanmangalam,Tamil Nadu
Nao Kothi,Bihar
Narela,Delhi
Narpatnagar,Bihar
Nasik,Maharashtra
Nasriganj,Bihar
Nedumadurai,Tamil Nadu
Nerkunram,Tamil Nadu
New Delhi,Delhi
Neykkarappatti,Tamil Nadu
Nipania,Bihar
Nirkunnam,Kerala
Oruvadalkotta,Kerala
Oulgaret,Tamil Nadu
Pachrukhi,Bihar
Pahleza,Bihar
Pakkam,Tamil Nadu
Palasgachi,West Bengal
Palavedu,Tamil Nadu
Pallappatti,Tamil Nadu
Pallavaram,Tamil Nadu
Palliman,Kerala
Pallippatti,Tamil Nadu
Pampur,Jammu and Kashmir
Panaiyur,Tamil Nadu
Panamarattuppatti,Tamil Nadu
Panchla,West Bengal
Panihati,West Bengal
Parappatti,Tamil Nadu
Patacudapah,Andhra Pradesh
Patapadu,Andhra Pradesh
Patna,Bihar
Peringuzha,Kerala
Permi,Madhya Pradesh
Perumbakkam,Tamil Nadu
Perumbalam,Kerala
Perunad,Kerala
Perunturuttu,Kerala
Peyanvilai,Tamil Nadu
Pimpri-Chinchwad,Maharashtra
Pipalda,Madhya Pradesh
Pithauria,Jharkhand
Poonamallee,Tamil Nadu
Prayagraj,Uttar Pradesh
Puducherry,Puducherry
Pujali,West Bengal
Pune,Maharashtra
Puri,Odisha
Putlampalle,Andhra Pradesh
Quilon,Kerala
Raghunandanpur,West Bengal
Raipur,Chhattisgarh
Raja Pakar,Bihar
Rajahmundry,Andhra Pradesh
Rajkot,Gujarat
Ranchi,Jharkhand
Ranipur,West Bengal
Raurkela,Odisha
Saharanpur,Uttar Pradesh
Sahdai Buzurg,Bihar
Sahibpur Kamal,Bihar
Sakhara,Bihar
Salem,Tamil Nadu
Salt Lake City,West Bengal
Sankrail,West Bengal
Saundhonwali,Uttarakhand
Secunderabad,Telangana
Shillong,Meghalaya
Shimla,Himachal Pradesh
Shivni,Madhya Pradesh
Shrirampur,West Bengal
Sikdarpur,West Bengal
Singhaul,Bihar
Sitamarhi,Bihar
Sitanagaram,Andhra Pradesh
Siuri,West Bengal
Sohana,Punjab
Solankuruni,Tamil Nadu
Sondekoppa,Karnataka
Sonnappanhalli,Karnataka
Sotur,Jammu and Kashmir
Srinagar,Jammu and Kashmir
Suara,Bihar
Sukkainpatti,Tamil Nadu
Sultanpur Mazra,Delhi
Surappattu,Tamil Nadu
Surat,Gujarat
Sursi,Gujarat
Takkolu,Andhra Pradesh
Tambaram,Tamil Nadu
Tamluk,West Bengal
Tendua Dusadhi,Bihar
Thane,Maharashtra
Thiruvananthapuram,Kerala
Tildanga,West Bengal
Tillor Khurd,Madhya Pradesh
Tippampatti,Tamil Nadu
Tirupparangunram,Tamil Nadu
Tiruvottiyur,Tamil Nadu
Titagarh,West Bengal
Togan,Chandigarh
Tonakkal,Kerala
Trichinopoly,Tamil Nadu
Tripunittura,Kerala
Ulao,Bihar
Ulhasnagar,Maharashtra
Usmanpur,Jharkhand
Vadodara,Gujarat
Vajarhalli,Karnataka
Valaiyankulam,Tamil Nadu
Valasaiyur,Tamil Nadu
Valavakattumula,Kerala
Vandalur,Tamil Nadu
Varanasi,Uttar Pradesh
Vasai-Virar,Maharashtra
Vayakkalattu,Kerala
Vellanur,Tamil Nadu
Vijayavada,Andhra Pradesh
Virapandi,Tamil Nadu
Vishakhapatnam,Andhra Pradesh
Vypin,Kerala
Wapi,Gujarat
Warangal,Telangana
Wattinagulapalli,Telangana
Yelahanka,Karnataka
